Term,Freq,Total,Category,logprob,loglift
genus,9.826861022490444,11.042644528761532,Topic4,-7.5077,1.7956
prime,34.677340922062534,39.013970578987575,Topic4,-6.2467,1.7944
conjecture,60.57932309262233,68.56331247934253,Topic4,-5.6888,1.7884
subgroup,28.165732797851586,32.02559983327961,Topic4,-6.4547,1.7838
manifold,70.24082185590322,81.92846913888017,Topic4,-5.5409,1.7583
rational,30.24172768386588,35.12081533217988,Topic4,-6.3836,1.7627
infty,21.24059628182719,24.44708303819107,Topic4,-6.7369,1.7716
cdot,28.3094109749425,33.49599848991257,Topic4,-6.4496,1.744
theorem,58.43864490357765,73.9748794712632,Topic4,-5.7248,1.6765
algebraic,29.354323377435367,35.09784339568266,Topic4,-6.4134,1.7335
polynomial,77.83065450725766,102.63832780319277,Topic4,-5.4383,1.6356
omega,49.84775244743027,62.96838360467286,Topic4,-5.8838,1.6786
prove,131.5637689672117,192.60565438399058,Topic4,-4.9133,1.5311
group,131.94516151020449,193.61137926380547,Topic4,-4.9104,1.5288
operator,82.60629607184565,115.37007432890383,Topic4,-5.3787,1.5782
proof,61.23295153117662,86.94122731679542,Topic4,-5.6781,1.5617
integral,44.658330285340725,61.345396567194136,Topic4,-5.9938,1.5948
curvature,38.91214047793599,52.02820451834719,Topic4,-6.1315,1.6218
invariant,53.945127976276666,78.29872221260015,Topic4,-5.8048,1.5397
formula,52.47786148670649,78.42131320103898,Topic4,-5.8324,1.5105
space,119.22679968799302,234.25419978961511,Topic4,-5.0118,1.2369
category,42.51856626624199,61.76345758041876,Topic4,-6.0429,1.5389
equation,100.47999643933936,202.71138120689457,Topic4,-5.1828,1.2104
compact,41.332151237573186,62.06099260255502,Topic4,-6.0712,1.5058
graph,92.62501901947518,211.5604310670291,Topic4,-5.2642,1.0863
bound,67.2665488103787,135.6055666833356,Topic4,-5.5841,1.2111
function,109.30929786664925,301.1930254440905,Topic4,-5.0986,0.8987
define,62.43054204773567,122.73173601916193,Topic4,-5.6587,1.2363
family,47.78372185223647,78.8159704505976,Topic4,-5.9261,1.4118
lie,39.5838038323086,58.197334173097786,Topic4,-6.1144,1.5268
solution,81.02681919586243,212.9385519158325,Topic4,-5.398,0.946
theory,74.51069388943732,188.21211678346955,Topic4,-5.4819,0.9856
class,71.71956890747393,177.09476274557088,Topic4,-5.52,1.0083
set,84.81517808684183,254.09376319373374,Topic4,-5.3523,0.815
type,66.54071738316782,175.74382631571132,Topic4,-5.595,0.941
case,69.70258780444559,201.72396374025553,Topic4,-5.5486,0.8496
result,88.8668862926988,362.7529230659266,Topic4,-5.3057,0.5057
condition,64.71553674332908,170.62093762757465,Topic4,-5.6228,0.9428
number,70.22245384806051,233.5734692604626,Topic4,-5.5411,0.7104
paper,72.40940157672365,287.17025525152786,Topic4,-5.5105,0.5345
point,62.764447650164094,195.08843542840242,Topic4,-5.6534,0.7782
problem,69.19332594225337,368.67094071652826,Topic4,-5.5559,0.2392
obtain,61.53865297320879,185.8077826184358,Topic4,-5.6731,0.8072
study,62.5271389203617,280.7599125057619,Topic4,-5.6572,0.4103
property,59.92272679590198,200.60823053134376,Topic4,-5.6997,0.7039
superconductor,26.672698212839922,28.218209107174758,Topic5,-6.4489,1.9161
fermion,24.074360862143838,25.6131664396377,Topic5,-6.5514,1.9105
conductivity,20.27237003667061,21.71901489077911,Topic5,-6.7233,1.9035
